codigo;codigo_area;nombre
bloque1;area1;Estimulación
bloque2;area1;Entrenamiento cognitivo
bloque3;area1;Cuidado del cuerpo
bloque4;area1;Socialización, emociones y valores
bloque5;area1;Vida en el hogar y en la comunidad
bloque6;area1;Hábitos de estudio, ocio y deportes
bloque7;area2;Escuchar ,hablar y conversar 
bloque8;area2;Lectura
bloque9;area2;Escritura
bloque10;area2;Conocimiento de la lengua
bloque11;area2;Educación literaria
bloque12;area2;Lenguas extranjeras
bloque13;area3;Numeración
bloque14;area3;Operaciones
bloque15;area3;Geometria 
bloque16;area3;Medidas
bloque17;area3;Probabilidad y estadistica
bloque18;area4;Descubrimiento del entorno 
bloque19;area4;Geografia e Historia
bloque20;area4;Geología y Biología
bloque21;area4;Química y Física
bloque22;area5;Ergonomía,periféricos
bloque23;area5;Aprender software de aplicación 
bloque24;area5;Programacion y robótica
bloque25;area6;Lenguaje musical 
bloque26;area6;Lenguaje plástico 
bloque27;area6;Dramatización
